library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib1,SortSeq_bin1,SortSeq,1,,210621,210800,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin1-1_S73_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin1-2_S74_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin1-3_S75_R1_001.fastq.gz
lib1,SortSeq_bin2,SortSeq,2,,210621,1984000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin2-1_S76_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin2-2_S77_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin2-3_S78_R1_001.fastq.gz
lib1,SortSeq_bin3,SortSeq,3,,210621,2940000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin3-1_S79_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin3-2_S80_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin3_S81_R1_001.fastq.gz
lib1,SortSeq_bin4,SortSeq,4,,210621,3575000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin4-1_S82_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin4-2_S83_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib1_bin4-3_S84_R1_001.fastq.gz
lib2,SortSeq_bin1,SortSeq,1,,210621,275500,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin1-1_S85_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin1-2_S86_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin1-3_S87_R1_001.fastq.gz
lib2,SortSeq_bin2,SortSeq,2,,210621,2146000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin2-1_S88_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin2-2_S89_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin2-3_S90_R1_001.fastq.gz
lib2,SortSeq_bin3,SortSeq,3,,210621,2128000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin3-1_S91_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin3-2_S92_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin3-3_S93_R1_001.fastq.gz
lib2,SortSeq_bin4,SortSeq,4,,210621,3850000,/shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin4-1_S94_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin4-2_S95_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210629_D00300_1271_BHM55FBCX3/Unaligned/Project_tstarr/CGGexpr_lib2_bin4-3_S96_R1_001.fastq.gz
lib1,PSR_01_bin1,PSR,1,1,210623,166552,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b1_S1_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b1_S1_R1_001.fastq.gz
lib1,PSR_01_bin2,PSR,2,1,210623,1321552,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b2_S2_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b2_S2_R1_001.fastq.gz
lib1,PSR_01_bin3,PSR,3,1,210623,2584631,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b3_S3_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b3_S3_R1_001.fastq.gz
lib1,PSR_01_bin4,PSR,4,1,210623,1056008,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b4_S4_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s1_b4_S4_R1_001.fastq.gz
lib1,PSR_02_bin1,PSR,1,2,210623,226835,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b1_S5_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b1_S5_R1_001.fastq.gz
lib1,PSR_02_bin2,PSR,2,2,210623,2109671,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b2_S6_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b2_S6_R1_001.fastq.gz
lib1,PSR_02_bin3,PSR,3,2,210623,2116370,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b3_S7_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b3_S7_R1_001.fastq.gz
lib1,PSR_02_bin4,PSR,4,2,210623,652024,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b4_S8_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s2_b4_S8_R1_001.fastq.gz
lib1,PSR_03_bin1,PSR,1,3,210623,638294,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b1_S9_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b1_S9_R1_001.fastq.gz
lib1,PSR_03_bin2,PSR,2,3,210623,2990094,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b2_S10_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b2_S10_R1_001.fastq.gz
lib1,PSR_03_bin3,PSR,3,3,210623,1205131,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b3_S11_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b3_S11_R1_001.fastq.gz
lib1,PSR_03_bin4,PSR,4,3,210623,328641,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b4_S12_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s3_b4_S12_R1_001.fastq.gz
lib1,PSR_04_bin1,PSR,1,4,210623,1810068,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b1_S13_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b1_S13_R1_001.fastq.gz
lib1,PSR_04_bin2,PSR,2,4,210623,2620843,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b2_S14_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b2_S14_R1_001.fastq.gz
lib1,PSR_04_bin3,PSR,3,4,210623,530641,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b3_S15_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b3_S15_R1_001.fastq.gz
lib1,PSR_04_bin4,PSR,4,4,210623,118642,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b4_S16_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s4_b4_S16_R1_001.fastq.gz
lib1,PSR_05_bin1,PSR,1,5,210623,4778551,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b1_S17_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b1_S17_R1_001.fastq.gz
lib1,PSR_05_bin2,PSR,2,5,210623,353774,/shared/ngs/illumina/tstarr/210728_D00300_1288_AHMGMTBCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b2_S18_R1_001.fastq.gz; /shared/ngs/illumina/tstarr/210701_D00300_1272_BHM532BCX3/Unaligned/Project_tstarr/PSR_lib1_s5_b2_S18_R1_001.fastq.gz
